id,resourceType,title,description,startDate,endDate,lat,lon,documentType,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
271,Disaster Event,Cyclone Hazel,"Tropical Cyclone Hazel formed off the north-west Kimberley coast and reached maximum gusts of 137 km per hour at Carnarvon.  The cyclone caused an estimated $20 million worth of damage including $5 million to wharf and salt loading equipment at Cape Cuvier and $2 million to the banana crop in Carnarvon. A crew of 15 on a Taiwanese fishing boat was lost in heavy seas, 230 km north of Barrow Island. Considerable damage also occurred to buildings, trees, pasture and stock feed in the northern agricultural area especially around Geraldton.  The Insurance Council of Australia estimated the 1979 damage at $15 million, with the 2011 estimated normalised cost of $202 million.",3/01/1979 0:00,3/01/1979 0:00,-24.88456726,113.6291885,,,,,5,15,15000000,,,,,,,,,,,,,,,,,1,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=271,
361,Disaster Event,Flood - Dalby,"Flooding in the wake of an ex-tropical cyclonic depression resulted in heavy damage in the Dalby township and surrounding area. Heavy rainfall over the Myall creek catchment created serious flooding for the town of Dalby, the highest recorded at a height of 4.5 m. Approximately 2000 homes were inundated with water and there was considerable damage to the grain growing districts. One death was recorded.  The Insurance Council of Australia estimated the 1981 damage at $20 million, with the 2011 estimated normalised cost of $205 million.",2/01/1981 0:00,2/01/1981 0:00,-27.17769051,151.2635345,,,,,5,1,20000000,,,2000,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=361,
95,Disaster Event,Environmental - Eastern Australia Drought,"From April 1982 to March 1983, almost all of eastern Australia was severely affected by drought. Large parts of south-eastern Australia suffered their lowest rainfall on record.  The impact of the 'Great Dry' was felt most in farming areas with massive crop and livestock losses. A total of 86 million sheep and 14 million cattle died as a result. Wheat production fell by 37 per cent, with similar falls in barley, oats, rice, cotton and sugar.  Dust storms caused the loss of millions of dollars worth of topsoil.",4/01/1982 0:00,3/01/1983 0:00,-28.92163086,145.612793,,,,,,,3000000000,,,,,,,,,,,,,,,,,,,,,,,,,Tasmania;Queensland;New South Wales;Australian Capital Territory;Northern Territory;South Australia;Western Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=95,
427,Disaster Event,Bushfire - North-Western Regions,"In 1984 New South Wales suffered its worst bushfire season in a decade. The season begun in early September 1984 and persisted into the following year finishing around February 1985, spanning just over five months. On Christmas Day 1984 more than 100 fires were started by lightning strikes with approximately 500,000 ha burnt. The biggest fire was in January at Cobar where around 516,000 ha was destroyed by fire. The bushfire season for 1984/1985 produced around 6000 separate incidents with a total of 3.5 million ha damaged.  The bushfires created widespread damage and heavy losses to farming communities, which included losses to crops, plantations, machinery and equipment as well as 40,000 livestock. The bushfires claimed the lives of four people.  The Insurance Council of Australia estimated the 1985 damage at $25 million, with the 2011 estimated normalised cost of $179 million.",9/01/1984 0:00,2/01/1985 0:00,-31.49797058,145.8381958,,,,,,4,25000000,,,,,,,,,,,,,,,,,,,,,,,40000,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=427,
248,Disaster Event,Flood - Sydney Nov 1984,"On the 8 November 1984, thunderstorms caused extremely heavy rain over a sizeable area near the centre of Sydney. Observatory Hill recorded 196 mm in three hours. Due to large expanses of urban areas being paved, much of the rainfall became flood run-off, causing damage to homes along the Harbour. Vehicles were swept off roads or buried in mud.  Thousands of homes were flooded, and hundreds of people evacuated.  The Insurance Council of Australia estimated the 1984 damage at $80 million, with the 2011 estimated normalised cost of $578 million.",11/08/1984 0:00,11/08/1984 0:00,-33.85963821,151.2046814,,,,,,,80000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=248,
219,Disaster Event,Hail - Western Sydney,"On 3 October 1986 a severe hailstorm spread over Western Sydney. Hail stones of up to 6 cm caused damage to hundreds of homes and ten people sustained injury.  The Insurance Council of Australia estimated the 1999 damage at $104 million, with the 2011 estimated normalised cost of $638 million.",10/03/1986 0:00,10/03/1986 0:00,-33.81459808,151.0031281,,,,120,10,,104000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=219,
262,Disaster Event,Flood - Sydney Aug 1986,"On 4 August 1986, torrential rain fell within a 24 hour period with rainfall recorded at 327.6 mm.  The subsequent damage included; 10,000 homes damaged, roads flooded, bus, train and ferry services disrupted resulting in people being stranded in the city, electricity supply problems and property damage.  As the rain eased in Sydney the wind shifted more southerly early on 6 August. This caused the Blue Mountains to experience heavy rains, resulting in the largest floods on record on the Cox and Grose rivers. The rain moved south to the Illawarra and west of Wollongong, adding to the already high Georges River (recorded at 4.5 m); the Hawkesbury River peaked at 12.8 m. This resulted in flooding covering the bridge at Milperra. Six deaths were recorded.  The Insurance Council of Australia estimated the 1986 damage at $35 million, with the 2011 estimated normalised cost of $215 million.",8/04/1986 0:00,8/06/1986 0:00,-34.42443466,150.8930969,,,,,,6,35000000,,,10000,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=262,
188,Disaster Event,Severe Storm - Adelaide,"On 6 December 1986 two severe storms occurred over Adelaide and region with strong winds heavy and rain. Most damage was caused by wind and there was some flooding reported. Some areas in Adelaide Hills and the Far-North of the state were flooded.  The Insurance Council of Australia estimated the 1986 damage at $10 million, with the 2011 estimated normalised cost of $50 million.",12/06/1986 0:00,12/08/1986 0:00,-34.92745972,138.5999908,,,,50,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=188,
546,Disaster Event,Flood - Lismore,"During the period between 7 - 14 April, Lismore and the surrounding region sustained heavy rainfall causing many areas to flood.&nbsp;The worst affected townships included; Coraki, Woodburn, Broadwater, Wardell, Iluka and Yamba with reports of water up to 1 m deep around many homes. Woodburn and lower Richmond were isolated as a result.  The Richmond River system carried flood water to the sea however high tides and a six metre swell at the mouth of the river restricted the outflow of water. The Pacific highway was closed for a period at Murwillumbah and Chinderah, and other major road closures occurred.  The State Emergency Services (SES) accommodated and provided meals for approximately 1150 people. Two caravan parks and one nursing home were evacuated. Significant crop damage occurred.  The Insurance Council of Australia estimated the 1988 damage at $25 million, with the 2011 estimated normalised cost of $139 million.",4/07/1988 0:00,4/12/1988 0:00,-28.80591011,153.2769165,,,,,,,25000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=546,
552,Disaster Event,Cyclone Aivu,"On 4 April 1989, Cyclone Aivu crossed the North Queensland coast near the Burdekin River between Townsville and Bowen.  On 31 March a tropical low developed south-east of Papua New Guinea. It moved slowly west-southwest and the system deepened reaching tropical cyclone intensity on 1 April. Cyclone Aivu tracked south-east and then south-west at 15-20 km per hour and continued to intensify for some days. The cyclone then weakened but maintained severe tropical cyclone intensity when reaching land south of Townsville. Upon reaching the land, the central pressure was 957 hPa with wind gusts to 200 km per hour and a storm surge of up to 3 m. A person drowned in the accompanying storm surge south of the Burdekin River. The system continued to move west-southwest after landfall and degenerated into a rain depression during the next six hours losing identity two days later.  Cyclone Aivu produced record and near record April rainfall totals over large parts of the coastal and central interior districts of Queensland and some parts of New South Wales. The maximum total recorded rainfalls inland from Mackay over 24 hours were 581 mm. Severe local flooding occurred between Townsville and Mackay during 4 April with a flood peak at Mackay of 7.8 m on 5 April; the major flood peak measured 13.2 m on the Pioneer River upstream from Mackay.  In northern New South Wales, flooding occurred as a result of this cyclone and two people drowned in associated flood waters.  The Insurance Council of Australia estimated the 1989 damage at $26 million, with the 2011 estimated normalised cost of $138 million.",4/04/1989 0:00,4/20/1989 0:00,-19.64258766,147.590332,,,,,,3,26000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales;Queensland,,http://www.emknowledge.gov.au/resource/?id=552,
434,Disaster Event,Cyclone Nancy,"Tropical Cyclone Nancy crossed the coast in New South Wales at Byron Bay and moved seawards which brought about high winds and heavy rainfall. Subsequent flooding affected rivers in the central and south-east regions including the Albert, Nerang, Logan, Paroo, Bulloo and Mary. Reports stipulated some areas received 530 mm of rain over a 24 hour period.  There was extensive damage to infrastructure including houses, roads and buildings as a result of cyclonic winds that recorded wind gusts of up to 60 - 70 knots.  Cyclone Nancy dumped&nbsp;a&nbsp;large amount of&nbsp;rain on Newcastle, which increased the rate of movement in some structures and prompted the discovery of leaks in buildings that had previously been considered structurally sound after the December&nbsp;1989 earthquake.  The Insurance Council of Australia estimated the 1990 damage caused by Cyclone Nancy&nbsp;at $33 million, with the 2011 estimated normalised cost of $197 million.",2/03/1990 0:00,2/07/1990 0:00,-28.63967705,153.6139374,,,,,,6,33000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=434,
452,Disaster Event,Severe Storm - Sydney Feb 1992,"On 12 February 1992, hail stones measuring up to 7.5 cm fell in western suburbs of Girraween and Toongabbie, Sydney. Approximately 3000 homes and 7000 vehicles were damaged.  In addition, the State was ravaged by a series of severe storms including flash floods and hail which damaged homes and other buildings along the coast including Sydney and Newcastle.  The Insurance Council of Australia estimated the 1992 damage at $118 million, with the 2011 estimated normalised cost of $441 million.",2/12/1992 0:00,2/13/1992 0:00,-33.73226166,151.1278381,,,,,1,,118000000,,,3000,,,,,,,,,,,7000,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=452,
549,Disaster Event,Flood - North-Eastern Victoria,"From 3-4&nbsp;October, heavy rainfall fell over a 24 hour period causing severe flooding in the north-eastern region of Victoria.&nbsp;Rainfall recorded during this period was 200 mm, with 165 mm recorded in Benalla.  Districts affected by the flood included; Benalla, Euroa, Violet Town, Myrtleford.&nbsp;The flood water took some days to reach Shepparton and Nathalia due to the topography and the slow movement of the water.&nbsp;The flood waters covered 40 000 square km, and remained for days or weeks.  The impact of the flood was extensive and included; 8 000 people affected; 1,500 people evacuated from their homes; 3 000 households damaged; 95 per cent&nbsp;of commercial&nbsp;businesses in the Benalla district affected;&nbsp;five bridges damaged or destroyed; several roads cut; 400 km rural fencing damaged; Telephone services, power, sewage and water infrastructure affected; and crops and livestock losses.  The estimated cost to replace local buildings, roads, and recreation reserves was estimated in 1993 values to be between $3 million and $5 million, businesses losses estimated at $10 million and agricultural losses approximately $30 million.&nbsp;Many premises were uninsured. The recovery period for the district took 18 months.  The Insurance Council of Australia estimated the 1993 damage at $12 million, with the 2011 estimated normalised cost of $44 million.",10/03/1993 0:00,10/04/1993 0:00,-36.5514946,145.9817047,,,,,,,12000000,3000,,,,500,,,,,5,,,,,,,,,,2000,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=549,
247,Disaster Event,"Earthquake - Hunter Valley, Ellalong and Cessnock","On 6 August 1994, an earthquake measuring 5.4 on the Richter scale affected the Hunter region of New South Wales. Homes, hotels and other buildings suffered serious damage. There were also infrastructure, commercial and industrial losses.  The Insurance Council of Australia estimated the 1994 damage at $37.2 million, with the 2011 estimated normalised cost of $115 million.",8/06/1994 0:00,8/06/1994 0:00,-32.78034592,151.3469696,,,,,,,37200000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=247,
93,Disaster Event,Hail - Brisbane and South East Queensland,"Severe hail storms were recorded during the period 3 - 6 November 1995 in south-east Queensland. Large hail caused extensive damage to over 300 homes and many cars in Brisbane. One person died when a small boat was struck by lightning on Moreton Bay.  Many trees and powerlines fell causing widespread blackouts to approximately 100,000 homes. Large hail brought destruction to fruit, vegetable and grain crops, particularly in the Granite Belt region. Other areas seriously affected included Beenleigh and Beaudesert.  The Insurance Council of Australia estimated the 1995 damage at $40 million, with the 2011 estimated normalised cost of $166 million.",11/03/1995 0:00,11/06/1995 0:00,-27.47093391,153.0234985,,,,,,1,40000000,,,300,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=93,
74,Disaster Event,Flood - Southern Queensland and Northern New South Wales,"In the first week of May widespread flooding and heavy rainfall was reported in south-east Queensland and northern New South Wales. A tidal surge created by a low pressure system caused above average tidal conditions. In addition, Brisbane water catchment areas recorded up to 1000 mm. The&nbsp;worst affected areas were Brisbane and the Darling Downs region. Furthermore the extreme weather conditions also affected the Lockyer creek, Bremer and Logan rivers.  Both Queensland and New South Wales reported extensive damage to farming areas, including vegetable and cotton crops. There were five deaths recorded.  The Insurance Council of Australia estimated the 1996 damage at $31 million, with the 2011 estimated normalised cost of $134 million.",5/01/1996 0:00,5/09/1996 0:00,-27.37176704,150.4907227,,,,,20,5,31000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales;Queensland,,http://www.emknowledge.gov.au/resource/?id=74,
192,Disaster Event,Hail - Singleton,"In the afternoon of 11 December 1996, Singleton in the upper Hunter Valley experienced a severe storm. Hailstones as large as 7 cm penetrated roofs and smashed windows for a period up to fifteen minutes exposing houses to flooding from subsequent large downpours of rain. The storm damaged 700 houses in Singleton and surrounding areas. Approximately 2000 vehicles were seriously damaged and more than 50 cars written off completely.  Damage also occurred to crops; grape, barley, lucerne and other market garden enterprises.  The Insurance Council of Australia estimated the 1996 damage at $49 million, with the 2011 estimated normalised cost of $149 million.",12/11/1996 0:00,12/11/1996 0:00,-32.56196976,151.1753235,,,,,,,49000000,,,700,,,,,,,,,,,2000,50,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=192,
313,Disaster Event,Severe Storm - Sydney and Region 1998,"On 4 February 1998, a thunderstorm with approximately 16,000 lightning strikes struck Sydney and regional areas. In Sydney 40,000 homes were without power. In regional areas there were several reports of severe wind gusts during the afternoon. The highest were: 106 km per hour at Dubbo, 104 km per hour at Coonamble, 83 km per hour at Orange and 76 km per hour at Armidale.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $34 million.",2/04/1998 0:00,2/04/1998 0:00,-34.8499794,150.7465363,,,,,1,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=313,
59,Disaster Event,Severe Storm - Nyngan,"On 5 January 1998 at 3.15pm, a severe storm with hail and strong winds struck the western New South Wales town of Nyngan. Damage to property included four houses destroyed and 77 houses sustaining significant damage. Public buildings, schools and shops were also damaged. There was widespread damage to infrastructure including electricity lines, water and sewage. One person was injured.  The Insurance Council of Australia estimated the 1998 damage at $12 million, with the 2011 estimated normalised cost of $27 million.",1/05/1998 0:00,1/05/1998 0:00,-31.53523827,147.1920776,,,,,1,,12000000,,,77,4,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=59,
428,Disaster Event,Severe Storm - Sydney Apr 1998,"Thunderstorms coupled with heavy rain occurred in the Sydney metropolitan area late 9 Apri 1998 and into the following day. Much of the reported damage was due to flash flooding. Hundreds of SES staff and volunteers worked to protect homes around the Narrabeen Lake area as water levels rose to a 15 year high. Three houses were evacuated as they were threatened by stormwater at the rear of their properties. Approximately 5,000 homes lost power after the heavy rains. One person drowned after being swept away in a swollen creek. Avalon and Belrose recorded rainfall levels in excess of 200 mm.  The Bureau of Meteorology advised the event was caused by an upper level system interacting with warm, moist onshore flow lifted by a trough off the coast.  The Insurance Council of Australia estimated the 1998 damage at $10 million, with the 2011 estimated normalised cost of $28 million.",4/09/1998 0:00,4/10/1998 0:00,-33.91579819,151.0357513,,,,,,1,10000000,,,80,,10,,,,,,,,,,,,,5,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=428,
511,Disaster Event,Flood - Townsville,"Tropical Cyclone Sid brought about heavy rain and wide spread flooding to areas in the&nbsp;northern regions of Queensland, between Cairns and Townsville. Townsville recorded 549 mm of rain in a 24 hour period, and as a result 50 per cent of the town&nbsp;lost their power supply. Other major areas affected included Blue Water Creek, Black River, Rollingstone, Paluma, Ingham, Halifax and Charters Towers.  The heavy deluge brought about extensive damage throughout the affected regions. Infrastructure including roads, highways, bridges, railways and power lines were badly disrupted. Furthermore, the flash flood inundated multiple buildings and houses along with wide spread damage to both agriculture and horticulture industries. The flood waters ruined crops, particularly the cane growers. One death was recorded as a result of this event.  The Insurance Council of Australia estimated the 1998 damage at $71 million, with the 2011 estimated normalised cost of $245 million.&nbsp;",1/10/1998 0:00,1/12/1998 0:00,-19.25686264,146.8180695,,,,,,1,71000000,,,,14,,,,,,,,,,,,,7,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=511,
544,Disaster Event,Cyclone Tessi,"A tropical low in the northern Coral Sea deepened into tropical Cyclone Tessi on 2 April and crossed the coast near Bambaroo and Crystal Creek (80 km north of Townsville) early on 3 April as a category 2 cyclone. Winds unroofed buildings, uprooted trees and power lines fell in the area between Ingham and Ayr. Approximately 70 per cent of Townsville lost power.  Heavy rain caused landslides on Townsville's Castle Hill destroying two homes and requiring the evacuation of another 50. Townsville Airport reported a record April wind gust of 130 km per hour and a daily rainfall total of 271.6 mm.  Although damage was widespread, the impact was considered minor.  The Insurance Council of Australia estimated the 2001 damage at $15 million, with the 2011 estimated normalised cost of $41 million.",4/02/2000 0:00,4/04/2000 0:00,-18.86470795,146.2994385,,,,,,,15000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=544,
127,Disaster Event,Flood - North and Central Queensland,"Queensland's far north endured saturating rains, cutting major transport lines and flooding isolated towns, leaving motorists and tourists stranded north of Ingham. Cairns opened a disaster co-ordination centre after a record 208 mm deluge which turned suburban streets into creeks and shopping centre car parks into miniature lakes. More than 3000 sandbags were distributed to Cairns residents who fought to keep rising flood waters from their front doors and 10,000 residents experienced blackouts.  Apart from floods along the Barwon, Tully and Herbert Rivers, others to flood included Burdekin, Bulloo, Flinders, Thompson, Paroo, Diamantina, Georgina, Barcoo rivers and Cooper Creek. Almost a third of Queensland was declared a natural disaster area by the State Government in the wake of the extensive flooding throughout northern, central and western Queensland. In relative terms one out of three individuals were directly affected by the floods.  Wide spread floods caused damage to plantations, crops and infrastructure, which resulted in several large damage estimates. This included $70 million to cane and banana industries compiled with $50 million to existing infrastructure.   The Insurance Council of Australia estimated the 2000 damage at $12 million, with the 2011 estimated normalised cost of $30 million.",2/05/2000 0:00,2/28/2000 0:00,-16.92339897,145.7738495,,,,,10,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=127,
136,Disaster Event,"Severe Storm - Sydney, Hunter Valley and Northern Regions","On 3 December 2001, severe thunderstorms hit a wide area of New South Wales with the most impact occurring in Sydney. A storm event moving at 80-100 km per hour produced a wind gust of 174 km per hour at the north western suburb of Richmond, which set a record as the highest wind gust ever recorded in mainland New South Wales. Other significant squalls were recorded,109 km per hour at Kurnell, 102 km per hour at Hornsby and at Gunnedah (north-west slopes) wind gusts of 137 km per hour caused damage to trees and buildings. Hail estimated to be 3 cm in diameter was reported at Pymble and 2 cm in diameter was also reported at Swansea in the Hunter Valley.  Two people died when a branch of a tree fell on their tent at Crosslands Reserve, Hornsby Heights, North Sydney.  The Insurance Council of Australia estimated the 2001 damage at $30 million, with the 2011 estimated normalised cost of $57 million.",12/03/2001 0:00,12/03/2001 0:00,-33.59631729,150.7569733,,,,,,2,30000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=136,
